  0.940823D+03  0.401877D-01  0.300000D+02 -0.271489D-01  0.101878D+01
  0.942385D+03  0.403342D-01  0.300000D+02 -0.252700D-01  0.101797D+01
  0.943948D+03  0.405220D-01  0.300000D+02 -0.234516D-01  0.101725D+01
  0.945511D+03  0.407717D-01  0.300000D+02 -0.217144D-01  0.101663D+01
  0.947073D+03  0.410462D-01  0.300000D+02 -0.200564D-01  0.101611D+01
  0.948636D+03  0.413779D-01  0.299999D+02 -0.184669D-01  0.101569D+01
  0.950199D+03  0.417642D-01  0.299999D+02 -0.169484D-01  0.101538D+01
  0.951761D+03  0.421337D-01  0.300000D+02 -0.154524D-01  0.101510D+01
  0.953324D+03  0.424610D-01  0.300000D+02 -0.139270D-01  0.101480D+01
  0.954887D+03  0.427573D-01  0.300000D+02 -0.123735D-01  0.101449D+01
  0.956449D+03  0.430354D-01  0.300001D+02 -0.108135D-01  0.101418D+01
  0.958012D+03  0.433152D-01  0.300000D+02 -0.926504D-02  0.101389D+01
  0.959575D+03  0.436304D-01  0.300000D+02 -0.774748D-02  0.101366D+01
  0.961137D+03  0.440035D-01  0.300000D+02 -0.627568D-02  0.101351D+01
  0.962700D+03  0.444150D-01  0.300000D+02 -0.484052D-02  0.101343D+01
  0.964263D+03  0.448130D-01  0.300000D+02 -0.341165D-02  0.101338D+01
  0.965825D+03  0.451533D-01  0.300000D+02 -0.195907D-02  0.101331D+01
  0.967388D+03  0.454187D-01  0.300000D+02 -0.469473D-03  0.101319D+01
  0.968950D+03  0.456110D-01  0.300001D+02  0.105265D-02  0.101302D+01
  0.970513D+03  0.457558D-01  0.300000D+02  0.259788D-02  0.101281D+01
  0.972076D+03  0.458832D-01  0.300000D+02  0.415217D-02  0.101259D+01
  0.973638D+03  0.460095D-01  0.300000D+02  0.570417D-02  0.101239D+01
  0.975201D+03  0.461445D-01  0.299999D+02  0.725150D-02  0.101222D+01
  0.976764D+03  0.462833D-01  0.299999D+02  0.879352D-02  0.101208D+01
  0.978326D+03  0.464209D-01  0.300000D+02  0.103360D-01  0.101197D+01
  0.979889D+03  0.465541D-01  0.300000D+02  0.118760D-01  0.101188D+01
  0.981452D+03  0.466811D-01  0.300000D+02  0.134149D-01  0.101180D+01
  0.983014D+03  0.467982D-01  0.300000D+02  0.149540D-01  0.101174D+01
  0.984577D+03  0.469006D-01  0.300000D+02  0.164951D-01  0.101168D+01
  0.986140D+03  0.469819D-01  0.300000D+02  0.180384D-01  0.101163D+01
  0.987702D+03  0.470355D-01  0.300000D+02  0.195835D-01  0.101158D+01
  0.989265D+03  0.470586D-01  0.300000D+02  0.211321D-01  0.101152D+01
  0.990828D+03  0.470510D-01  0.300000D+02  0.226822D-01  0.101146D+01
  0.992390D+03  0.470185D-01  0.300000D+02  0.242307D-01  0.101139D+01
  0.993953D+03  0.469617D-01  0.300000D+02  0.257784D-01  0.101132D+01
  0.995516D+03  0.468804D-01  0.300000D+02  0.273270D-01  0.101125D+01
  0.997078D+03  0.467777D-01  0.300000D+02  0.288741D-01  0.101118D+01
  0.998641D+03  0.466576D-01  0.300000D+02  0.304170D-01  0.101112D+01
  0.100020D+04  0.465218D-01  0.300000D+02  0.319584D-01  0.101107D+01
  0.100177D+04  0.463693D-01  0.300000D+02  0.334994D-01  0.101102D+01
  0.100333D+04  0.462013D-01  0.300000D+02  0.350343D-01  0.101098D+01
  0.100489D+04  0.460215D-01  0.300000D+02  0.365659D-01  0.101095D+01
  0.100645D+04  0.458235D-01  0.300000D+02  0.380960D-01  0.101093D+01
  0.100802D+04  0.456026D-01  0.300000D+02  0.396186D-01  0.101091D+01
  0.100958D+04  0.453613D-01  0.300000D+02  0.411326D-01  0.101089D+01
  0.101114D+04  0.450951D-01  0.300000D+02  0.426392D-01  0.101087D+01
  0.101270D+04  0.448006D-01  0.300000D+02  0.441354D-01  0.101085D+01
  0.101427D+04  0.444845D-01  0.300001D+02  0.456211D-01  0.101083D+01
  0.101583D+04  0.441493D-01  0.300000D+02  0.470966D-01  0.101081D+01
