  0.213532D+05  0.779935D-15 -0.743091D-02  0.750771D-02  0.184010D-04
  0.213548D+05  0.494537D-15 -0.743108D-02  0.750788D-02  0.184020D-04
  0.213563D+05  0.341508D-15 -0.743125D-02  0.750805D-02  0.184031D-04
  0.213579D+05  0.755972D-15 -0.743141D-02  0.750822D-02  0.184041D-04
  0.213595D+05  0.598751D-15 -0.743158D-02  0.750839D-02  0.184051D-04
  0.213610D+05  0.380923D-15 -0.743175D-02  0.750856D-02  0.184062D-04
  0.213626D+05  0.370163D-15 -0.743192D-02  0.750873D-02  0.184072D-04
  0.213642D+05  0.473387D-15 -0.743209D-02  0.750891D-02  0.184082D-04
  0.213657D+05  0.577761D-15 -0.743226D-02  0.750908D-02  0.184093D-04
  0.213673D+05  0.551137D-15 -0.743242D-02  0.750925D-02  0.184103D-04
  0.213688D+05  0.632631D-15 -0.743259D-02  0.750942D-02  0.184113D-04
  0.213704D+05  0.675871D-15 -0.743276D-02  0.750959D-02  0.184123D-04
  0.213720D+05  0.594406D-15 -0.743293D-02  0.750976D-02  0.184134D-04
  0.213735D+05  0.591036D-15 -0.743310D-02  0.750993D-02  0.184144D-04
  0.213751D+05  0.550293D-15 -0.743327D-02  0.751010D-02  0.184154D-04
  0.213767D+05  0.579300D-15 -0.743343D-02  0.751027D-02  0.184165D-04
  0.213782D+05  0.687374D-15 -0.743360D-02  0.751044D-02  0.184175D-04
  0.213798D+05  0.610262D-15 -0.743377D-02  0.751062D-02  0.184185D-04
  0.213813D+05  0.624365D-15 -0.743394D-02  0.751079D-02  0.184196D-04
  0.213829D+05  0.705565D-15 -0.743411D-02  0.751096D-02  0.184206D-04
  0.213845D+05  0.440577D-15 -0.743427D-02  0.751113D-02  0.184216D-04
  0.213860D+05  0.313240D-15 -0.743444D-02  0.751130D-02  0.184226D-04
  0.213876D+05  0.351157D-15 -0.743461D-02  0.751147D-02  0.184237D-04
  0.213892D+05  0.500462D-15 -0.743478D-02  0.751164D-02  0.184247D-04
  0.213907D+05  0.320268D-15 -0.743495D-02  0.751181D-02  0.184257D-04
  0.213923D+05  0.801875D-15 -0.743511D-02  0.751198D-02  0.184268D-04
  0.213938D+05  0.746155D-15 -0.743528D-02  0.751215D-02  0.184278D-04
  0.213954D+05  0.660920D-15 -0.743545D-02  0.751232D-02  0.184288D-04
  0.213970D+05  0.840672D-15 -0.743562D-02  0.751249D-02  0.184298D-04
  0.213985D+05  0.697232D-15 -0.743578D-02  0.751266D-02  0.184309D-04
  0.214001D+05  0.575907D-15 -0.743595D-02  0.751283D-02  0.184319D-04
  0.214017D+05  0.607279D-15 -0.743612D-02  0.751300D-02  0.184329D-04
  0.214032D+05  0.714010D-15 -0.743629D-02  0.751318D-02  0.184339D-04
  0.214048D+05  0.735372D-15 -0.743646D-02  0.751335D-02  0.184350D-04
  0.214063D+05  0.717365D-15 -0.743662D-02  0.751352D-02  0.184360D-04
  0.214079D+05  0.742389D-15 -0.743679D-02  0.751369D-02  0.184370D-04
  0.214095D+05  0.722498D-15 -0.743696D-02  0.751386D-02  0.184381D-04
  0.214110D+05  0.617815D-15 -0.743713D-02  0.751403D-02  0.184391D-04
  0.214126D+05  0.585778D-15 -0.743729D-02  0.751420D-02  0.184401D-04
  0.214142D+05  0.600844D-15 -0.743746D-02  0.751437D-02  0.184411D-04
  0.214157D+05  0.369331D-15 -0.743763D-02  0.751454D-02  0.184422D-04
  0.214173D+05  0.418451D-15 -0.743780D-02  0.751471D-02  0.184432D-04
  0.214188D+05  0.347573D-15 -0.743796D-02  0.751488D-02  0.184442D-04
  0.214204D+05  0.414106D-15 -0.743813D-02  0.751505D-02  0.184452D-04
  0.214220D+05  0.486712D-15 -0.743830D-02  0.751522D-02  0.184463D-04
  0.214235D+05  0.537605D-15 -0.743847D-02  0.751539D-02  0.184473D-04
  0.214251D+05  0.705113D-15 -0.743863D-02  0.751556D-02  0.184483D-04
  0.214267D+05  0.711181D-15 -0.743880D-02  0.751573D-02  0.184493D-04
  0.214282D+05  0.966864D-15 -0.743897D-02  0.751590D-02  0.184504D-04
  0.214298D+05  0.877545D-15 -0.743913D-02  0.751607D-02  0.184514D-04
  0.214313D+05  0.852028D-15 -0.743930D-02  0.751624D-02  0.184524D-04
  0.214329D+05  0.577961D-15 -0.743947D-02  0.751641D-02  0.184534D-04
  0.214345D+05  0.748445D-15 -0.743964D-02  0.751658D-02  0.184545D-04
  0.214360D+05  0.761465D-15 -0.743980D-02  0.751675D-02  0.184555D-04
  0.214376D+05  0.777144D-15 -0.743997D-02  0.751692D-02  0.184565D-04
  0.214392D+05  0.768688D-15 -0.744014D-02  0.751709D-02  0.184575D-04
  0.940722D+03  0.523716D-01 -0.751754D-02  0.751785D-02  0.273247D-06
  0.942285D+03  0.505536D-01 -0.735460D-02  0.735560D-02  0.272439D-06
  0.943847D+03  0.489284D-01 -0.756638D-02  0.756774D-02  0.270948D-06
  0.945410D+03  0.475228D-01 -0.761588D-02  0.761747D-02  0.268991D-06
  0.946973D+03  0.463575D-01 -0.748016D-02  0.748187D-02  0.266772D-06
  0.948535D+03  0.453375D-01 -0.714781D-02  0.714959D-02  0.264601D-06
  0.950098D+03  0.444603D-01 -0.731788D-02  0.732061D-02  0.262846D-06
  0.951661D+03  0.437563D-01 -0.741046D-02  0.741345D-02  0.261697D-06
  0.953223D+03  0.430878D-01 -0.733292D-02  0.733589D-02  0.261052D-06
  0.954786D+03  0.424214D-01 -0.706488D-02  0.706758D-02  0.260685D-06
  0.956349D+03  0.418228D-01 -0.704624D-02  0.705083D-02  0.260504D-06
  0.957911D+03  0.412564D-01 -0.716518D-02  0.716975D-02  0.260450D-06
  0.959474D+03  0.407150D-01 -0.711589D-02  0.712021D-02  0.260258D-06
  0.961037D+03  0.402734D-01 -0.687507D-02  0.687895D-02  0.259510D-06
  0.962599D+03  0.399060D-01 -0.682772D-02  0.683543D-02  0.258000D-06
